No. , Title, Year,How to Generate,Comment,URL,Code
1,Unsupervised Fake News Detection on Social Media: A Generative Approach,2019,教師なし学習，ラベルを生成？,ストレートな生成的アプローチではない．被引用数は多い(422),https://ojs.aaai.org/index.php/AAAI/article/view/4508,
2,Fake news detection: comparative evaluation of BERT-like models and large language models with generative AI-annotated data,2025,GPT-4によるラベル生成でのデータセット作成,BERT vs LLMの比較評価．また，GPTで付与したラベルで学習した場合と元のラベルで学習した場合の性能差も比較．アノテーションコストにも対処．分類性能はBERTが勝利．LLMはテキスト摂動に対して頑健性が見られた,https://link.springer.com/article/10.1007/s10115-024-02321-1,https://github.com/draip96/FakeNewsClassification
3,DeepNews: enhancing fake news detection using generative round network (GRN),2024,生成ラウンドネットワーク(GRN),GANに確率的丸め関数を統合したGRNを提案．確率に応じて丸めを選択するため，最終的に丸め誤差が相殺されてより正確な結果を出力できるらしい．,https://link.springer.com/article/10.1007/s41870-024-02017-3,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
